date,coast_mean,coast_daily,coast_max,coast_min,coast_std,coast_range,coast_load_factor,coast_peak_ratio,north_mean,north_daily,north_max,north_min,north_std,north_range,north_load_factor,north_peak_ratio,scent_mean,scent_daily,scent_max,scent_min,scent_std,scent_range,scent_load_factor,scent_peak_ratio,ercot_mean,ercot_daily,ercot_max,ercot_min,ercot_std,ercot_range,ercot_load_factor,ercot_peak_ratio
2021-02-05,11428.377083333333,274281.05,12612.8,9285.58,1217.3657416893861,3327.2199999999993,0.9060935782168379,1.103638767607168,779.3024999999999,18703.26,904.91,710.68,59.450609624987095,194.23000000000002,0.8611933783470178,1.1611793879783525,6059.126666666666,145419.03999999998,6928.5,4646.87,775.9818183362325,2281.63,0.8745221428399604,1.1434816238643855,39695.14375000001,952683.4500000002,43699.57,33597.25,3337.2352610295907,10102.32,0.9083646303613516,1.1008794999010425
2021-02-06,10984.308333333332,263623.39999999997,11842.52,10459.93,413.83505689929257,1382.5900000000001,0.9275313306064361,1.0781306970473792,797.2024999999999,19132.859999999997,874.6,732.54,42.476097344885325,142.06000000000006,0.9115052595472214,1.09708637391378,5703.350000000002,136880.40000000005,6390.76,5252.09,328.97741698626754,1138.67,0.8924368932646511,1.120527409329604,38540.32666666666,924967.8399999999,42280.58,36012.92,1874.760996140382,6267.6600000000035,0.9115373220203379,1.0970477849262308
2021-02-07,10866.42791666667,260794.27000000005,11486.51,10119.63,439.52335717702954,1366.880000000001,0.9460164938407462,1.0570640221504863,810.6129166666666,19454.71,920.81,723.55,57.034263041512204,197.26,0.8803259268108151,1.1359429156230034,5761.72125,138281.31,6658.36,5184.22,427.41661115318595,1474.1399999999994,0.8653363966502262,1.1556199460360912,38968.964166666665,935255.14,43128.04,36367.21,2104.1365577727593,6760.830000000002,0.9035644598425215,1.10672790314737
2021-02-08,11227.519583333333,269460.47,11878.94,10082.92,698.2477085532173,1796.0200000000004,0.9451617386175308,1.0580199759912836,863.8520833333333,20732.45,930.83,749.27,61.6944654680147,181.56000000000006,0.9280449527124537,1.0775340106933817,5787.225833333334,138893.42,6504.72,4749.57,594.3304023778185,1755.1500000000005,0.8896963794495895,1.1239789473108228,39061.57708333333,937477.8499999999,41891.96,34258.45,2727.337712054645,7633.510000000002,0.9324361305446995,1.0724595146434661
2021-02-09,11119.975416666666,266879.41,12156.57,9462.48,983.5231655191769,2694.09,0.9147296825228388,1.0932191434326088,1055.7733333333335,25338.560000000005,1146.51,849.9,96.1502355992803,296.61,0.9208583730916726,1.085943321167422,5757.984583333334,138191.63,6675.46,4492.3,715.3413829590259,2183.16,0.8625599708983851,1.159339679255538,43484.42333333333,1.04362616e6,48567.3,34628.65,4885.099697646397,13938.650000000001,0.8953436434253773,1.1168895957916578
2021-02-10,11402.84375,273668.25,12380.5,9708.16,970.9028664567953,2672.34,0.9210325713824159,1.0857379326977097,1149.645416666667,27591.490000000005,1229.91,1022.01,67.93708886386801,207.9000000000001,0.93473946603139,1.0698168167068902,7058.917916666665,169414.02999999997,8650.12,4984.73,1224.0040930770554,3665.3900000000012,0.8160485538543586,1.225417280965455,48457.84333333333,1.16298824e6,53979.78,39947.72,4779.607139761381,14032.059999999998,0.8977036092650494,1.1139534136647848
2021-02-11,13152.741666666667,315665.8,14972.75,10263.84,1677.8947929724493,4708.91,0.8784452867153106,1.1383748255275041,1192.1425000000002,28611.420000000002,1285.15,1087.56,61.66329245958672,197.59000000000015,0.9276290705365133,1.0780170994658775,9724.190833333334,233380.58000000002,10941.49,7418.32,1267.4382979576205,3523.17,0.8887446621377284,1.1251825666042992,55935.198333333334,1.34244476e6,61120.0,46226.92,5345.319542398276,14893.080000000002,0.9151701297993019,1.0926930058559727
2021-02-12,14647.479166666664,351539.49999999994,15692.09,12701.09,1072.9397519773365,2991.0,0.9334307390963641,1.0713167652568205,1210.0525,29041.260000000002,1289.66,1097.85,61.133191600123354,191.81000000000017,0.9382724904238325,1.0657884678557337,10458.69458333333,251008.66999999993,11267.42,9058.28,733.8039691135333,2209.1399999999994,0.9282244367684288,1.0773256557233664,60017.02166666667,1.44040852e6,63997.23,53141.03,3784.2849963312724,10856.200000000004,0.9378065529815378,1.0663179915097976
2021-02-13,13378.197916666666,321076.75,14182.78,12386.72,578.9013697023847,1796.0600000000013,0.9432704953941798,1.0601412902055352,1205.9679166666667,28943.23,1334.35,1094.32,65.53623617505626,240.02999999999997,0.9037868000649506,1.1064556374668617,10840.604583333332,260174.50999999995,11664.95,9692.83,666.9928866186046,1972.1200000000008,0.9293314230522489,1.0760423840137148,59079.87583333333,1.41791702e6,64132.07,55251.93,2714.735475485622,8880.14,0.9212220318685072,1.0855146375208897
2021-02-14,13796.458333333334,331115.0,15283.88,12129.2,1103.2559634679235,3154.6799999999985,0.9026803621418995,1.1078118478474246,1318.605,31646.52,1421.3,1151.88,93.30325568670756,269.41999999999985,0.9277457257440372,1.0778815490613185,11688.415,280521.96,13188.56,9827.26,1245.975848419013,3361.2999999999993,0.8862540717106342,1.1283446044651904,62876.355,1.50903252e6,69692.49,54701.39,5288.710484694076,14991.100000000006,0.9021969942528958,1.1084053775063774
2021-02-15,10348.922916666665,248374.14999999997,14479.75,8822.99,1467.7981181421233,5656.76,0.714716961043296,1.399155266359241,1081.9266666666665,25966.239999999998,1340.95,957.89,92.40632825434238,383.06000000000006,0.8068359496376946,1.2394093253393639,10050.652916666666,241215.66999999998,12997.16,8764.24,1172.3696559179662,4232.92,0.7732960828878513,1.2931657383618569,49227.95250000001,1.18147086e6,65777.08,43704.3,5914.989882948641,22072.78,0.7484058656906023,1.3361733864515286
2021-02-16,8894.293333333337,213463.04000000007,9440.19,7942.55,367.2016802043905,1497.6400000000003,0.9421731271651669,1.0613760583565188,1074.1495833333333,25779.59,1120.38,1013.14,32.41763871442277,107.24000000000012,0.9587368422618515,1.04303908634699,8859.167500000001,212620.02000000002,9383.81,8410.67,262.4535124095063,973.1399999999994,0.9440906731913798,1.0592202935546706,45116.062916666655,1.0827855099999998e6,46796.66,42691.44,1037.8188145314534,4105.220000000001,0.9640872429072214,1.037250526191471
2021-02-17,9147.441249999998,219538.58999999997,11456.15,7803.54,1189.346310736947,3652.6099999999997,0.7984742911012861,1.2523884753017684,1056.5108333333335,25356.260000000002,1100.07,1008.89,24.14469892609732,91.17999999999995,0.960403277367198,1.0412292664612208,8351.634166666665,200439.21999999997,9309.63,7894.89,503.9033081413507,1414.7399999999989,0.8970962505133572,1.1147075906601513,45539.92625000001,1.0929582300000002e6,49445.35,42628.67,2310.937982895619,6816.68,0.9210153482582288,1.0857582361587594
2021-02-18,12190.34625,292568.31,13108.93,11074.19,663.6078645183039,2034.7399999999998,0.9299268704615862,1.075353376447367,1034.16125,24819.870000000003,1127.25,931.25,54.69984669817956,196.0,0.9174196052339766,1.0900137671953962,10022.654583333333,240543.71,10761.64,8947.18,556.912743169131,1814.4599999999991,0.9313315241295317,1.0737315060119428,52126.03625,1.2510248699999999e6,55723.51,47970.87,2616.127425737137,7752.639999999999,0.9354406470446675,1.0690149109505713
2021-02-19,11668.83375,280052.01,13411.93,9822.47,1042.7182412655561,3589.460000000001,0.8700338989243158,1.1493805025716473,938.8766666666667,22533.04,1127.2,774.06,103.4020059374288,353.1400000000001,0.8329281996687958,1.2005836762372055,9265.977916666663,222383.4699999999,11332.22,7276.11,1207.6631093903743,4056.1099999999997,0.8176666104846767,1.222992338414362,49204.34333333333,1.18090424e6,58610.02,39794.69,5531.529303673361,18815.329999999994,0.8395210125049153,1.1911554149386405
2021-02-20,10364.330416666666,248743.93,12165.93,8641.94,1124.7286012942782,3523.99,0.8519143556363274,1.1738269150929634,815.5658333333334,19573.58,1009.03,646.88,117.8499201422565,362.15,0.8082671806916876,1.2372146536300461,7738.824166666666,185731.78,10191.05,5837.13,1505.7643709596296,4353.919999999999,0.7593745655910497,1.3168731813155508,42714.81791666666,1.0251556299999998e6,52761.14,33953.36,6247.02807680718,18807.78,0.8095886085226107,1.235195245428248
2021-02-21,8826.255416666667,211830.13,9233.9,8120.59,331.3290748928986,1113.3099999999995,0.9558534765014423,1.0461854505777812,665.77375,15978.57,738.0,575.85,50.30752306196791,162.14999999999998,0.9021324525745257,1.1084846766638066,5749.527916666669,137988.67000000004,6411.47,4911.28,426.6800134096946,1500.1900000000005,0.8967565810440771,1.1151298146434772,34480.073749999996,827521.7699999999,37378.24,31185.46,1982.7608157200634,6192.779999999999,0.9224638118327668,1.0840533657501241
2021-02-22,9731.44,233554.56,10351.73,8502.27,669.2650714029529,1849.4599999999991,0.9400786148788658,1.063740823557459,656.4741666666665,15755.379999999997,843.88,578.03,77.20661916412105,265.85,0.7779235989319174,1.2854732796035389,5535.502916666667,132852.07,6534.82,4493.67,575.5958279638448,2041.1499999999996,0.8470781011055649,1.1805286887889663,34896.77708333333,837522.6499999999,40800.91,30092.1,2863.0453434676847,10708.810000000005,0.855294087394946,1.1691884870218139
